id,start,end,duration,word_count,text
1,0.000,0.250,0.250,2,"Vrei să"
2,0.260,0.710,0.450,2,"fii vizibil"
3,0.720,1.150,0.430,2,"la locul"
4,1.160,1.710,0.550,2,"de muncă?"
5,1.720,2.390,0.670,2,"Brățara Ardon"
6,2.400,3.090,0.690,2,"REF rezolvă"
7,3.100,3.730,0.630,2,"această problemă."
8,3.740,4.470,0.730,2,"Este mulabilă"
9,4.480,4.770,0.290,2,"și poate"
10,4.780,5.130,0.350,2,"fi pusă"
11,5.140,5.450,0.310,2,"pe mână"
12,5.460,5.690,0.230,2,"sau pe"
13,5.700,6.190,0.490,2,"picior. Se"
14,6.200,6.610,0.410,2,"aplică și"
15,6.620,7.420,0.800,2,"înlătură ușor,"
16,7.430,8.770,1.340,2,"oferindu-ți flexibilitate"
17,8.780,9.770,0.990,2,"totală. Realizată"
18,9.780,10.170,0.390,2,"din folie"
19,10.180,11.480,1.300,2,"reflectorizantă PVC,"
20,11.490,11.990,0.500,2,"cu bandă"
21,12.000,12.550,0.550,2,"metalică și"
22,12.560,13.050,0.490,2,"folie gri,"
23,13.060,13.530,0.470,2,"Brățara sau"
24,13.540,14.250,0.710,2,"oferă vizibilitate"
25,14.260,15.170,0.910,2,"ridicată. Ogasă"
26,15.180,15.650,0.470,2,"și penortei"
27,15.660,16.170,0.510,2,"a punkterom"
28,16.180,16.630,0.450,2,"și costă"
29,16.640,17.710,1.070,2,"doar 7.99"
30,17.720,18.170,0.450,2,"și 9"
31,18.180,18.880,0.700,1,"lei."
